"Activities Count","Chemical","Plant Part","Low PPM","High PPM","StdDev","Refernce Citation"
"0","6-(HEPTADECADIENYL)-SALICYLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"0","6-(PENTACEC-CIS-ENYL)-SALICYLIC-ACID","Fruit",,,,"Jim Duke's personal files."
"0","6-(PENTACEC-CIS-ENYL)-SALICYLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"0","6-(PENTADEC-8-ENYL)-2,4-DIHYDROXYBENZOIC-ACID","Plant",,,,"J.S. Glasby Dict.Pls Containing 2ndary Metabolite. 1991."
"0","6-(PENTADEC-8-ENYL)-RESORCYCLIC-ACID","Seed",,,,"Jim Duke's personal files."
"1","6-(PENTADECYL)-SALICYLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"0","6-(TRIDEC-8-ENYL)-RESORCYCLIC-ACID","Seed",,,,"Jim Duke's personal files."
"0","6-(TRIDECYL)-SALICYLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"0","6-(TRIDECYL)-SALICYLIC-ACID","Fruit",,,,"Jim Duke's personal files."
"2","6-HEPTADECENYLSALICYLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"2","6-HEPTADECENYLSALICYLIC-ACID","Fruit",,,,"Jim Duke's personal files."
"0","6-HYDROXYKYNURENIC-ACID","Leaf",,,,"--"
"2","6-PENTADECENYLSALICYLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"0","8-HYDROXY-3-(6'-PENTADECENYL)-3-4-DIHYDRO-ISO-COUMARIN","Fruit",,,,"Jim Duke's personal files."
"0","8-HYDROXY-3-HEPTADECYL-3-4-DIHYDRO-ISO-COUMARIN","Fruit",,,,"Jim Duke's personal files."
"0","8-HYDROXY-3-TRIDECYL-3-4'-DIHYDRO-ISO-COUMARIN","Fruit",,,,"Jim Duke's personal files."
"16","ACACETIN","Leaf",,,,"--"
"0","ACENAPHTHENE","Essential Oil",,,,"Jim Duke's personal files."
"0","ACENAPTHENE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"16","ACETIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"16","ACETIC-ACID","Fruit",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"1","AFZELIN","Pollen Or Spore",,"141.0",,"--"
"3","ALANINE","Seed","2400.0","6745.0","-0.7251578440244862","USDA's Ag Handbook 8 and sequelae)"
"7","ALPHA-CAROTENE","Tissue Culture",,,,"Jim Duke's personal files."
"0","ALPHA-HEXENAL","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","ALPHA-HYDROXY-PALMITIC-ACID","Seed",,,,"--"
"5","ALPHA-IONONE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"15","ALPHA-LINOLENIC-ACID","Leaf",,,,"Jim Duke's personal files."
"15","ALPHA-LINOLENIC-ACID","Seed","210.0","468.0","-0.32164924804323036","USDA's Ag Handbook 8 and sequelae)"
"0","ALPHA-SESAMIN","Wood",,"5000.0",,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"18","AMENTOFLAVONE","Leaf","3.8","5.0","-1.0","--"
"17","ANACARDIC-ACID","Fruit",,,,"--"
"17","ANACARDIC-ACID","Fruit Epidermis",,,,"Jim Duke's personal files."
"17","ANACARDIC-ACID","Testa",,,,"Jim Duke's personal files."
"17","ANACARDIC-ACID","Leaf",,,,"--"
"17","ANACARDIC-ACID","Seed",,,,"--"
"17","ANACARDIC-ACID","Plant",,,,"Jim Duke's personal files."
"101","APIGENIN","Leaf",,,,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
"101","APIGENIN","Pollen Or Spore",,"109.0",,"Jim Duke's personal files."
"0","APIGENIN-3-O-GLUCOSIDE","Leaf",,,,"--"
"0","ARABINOSE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","ARACHIDIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"14","ARGININE","Seed","4200.0","11475.0","-0.5574710966820287","USDA's Ag Handbook 8 and sequelae)"
"112","ASCORBIC-ACID","Seed","150.0","545.0","-0.011266545914812775","--"
"112","ASCORBIC-ACID","Leaf",,,,"--"
"112","ASCORBIC-ACID","Fruit",,"640.0","-0.24469573012689724","Jim Duke's personal files."
"0","ASH","Seed","14000.0","38000.0","-0.29717040195945654","CRC Handbook of Medicinal Herbs and/or CRC Handbook of Proximate Analyses"
"0","ASH","Leaf","11520.0","48000.0","-1.248319836630157","--"
"2","ASPARAGINE","Fruit",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"3","ASPARTIC-ACID","Seed","5430.0","14815.0","-0.6901386529117167","USDA's Ag Handbook 8 and sequelae)"
"7","ASTRAGALIN","Leaf",,"18000.0","1.0","--"
"0","AUROXANTHIN","Tissue Culture",,,,"Jim Duke's personal files."
"1","BEHENIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"20","BENZOIC-ACID","Plant",,,,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
"53","BETA-CAROTENE","Tissue Culture",,,,"Jim Duke's personal files."
"53","BETA-CAROTENE","Leaf","7.2","30.0","-1.007290752841","--"
"53","BETA-CAROTENE","Seed","1.0","4.0","-0.17927152633495164","--"
"13","BETA-EUDESMOL","Heart Wood",,,,"Jim Duke's personal files."
"13","BETA-EUDESMOL","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"13","BETA-IONONE","Essential Oil",,,,"Jim Duke's personal files."
"13","BETA-IONONE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"47","BETA-SITOSTEROL","Seed",,,,"Jim Duke's personal files."
"47","BETA-SITOSTEROL","Pollen Or Spore",,,,"Jim Duke's personal files."
"47","BETA-SITOSTEROL","Leaf",,,,"Jim Duke's personal files."
"0","BETULAPRENOLS","Plant",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"4","BIFLAVONES","Leaf",,,,"--"
"13","BILOBALIDE","Shoot",,,,"Jim Duke's personal files."
"13","BILOBALIDE","Plant",,,,"Jim Duke's personal files."
"13","BILOBALIDE","Leaf","0.25","330.0",,"--"
"13","BILOBALIDE","Root",,,,"Jim Duke's personal files."
"0","BILOBALIDE-A","Leaf",,,,"Jim Duke's personal files."
"0","BILOBANONE","Wood",,"20000.0",,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","BILOBANONE","Leaf",,,,"Jim Duke's personal files."
"0","BILOBANONE","Heart Wood",,,,"Jim Duke's personal files."
"3","BILOBETIN","Leaf","8.0","19000.0",,"--"
"5","BILOBOL","Fruit",,,,"Jim Duke's personal files."
"5","BILOBOL","Seed",,,,"--"
"5","BILOBOL","Testa",,,,"Jim Duke's personal files."
"6","BUTYRIC-ACID","Fruit",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"28","CALCIUM","Leaf","2640.0","11000.0","-0.5081650418038481","--"
"28","CALCIUM","Seed","20.0","230.0","-0.7192814043300865","--"
"4","CALCIUM-OXALATE","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"2","CAMPESTEROL","Seed",,,,"Jim Duke's personal files."
"1","CAPROIC-ACID","Fruit",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"5","CAPRYLIC-ACID","Fruit",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","CARBOHYDRATES","Seed","381000.0","838400.0","1.2518645496771927","--"
"3","CARDANOL","Testa",,,,"Jim Duke's personal files."
"3","CARDANOL","Seed",,,,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
"3","CARDANOL","Fruit",,,,"--"
"0","CARDANOLS","Leaf",,,,"--"
"4","CARDOL","Fruit",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","CERYL-ALCOHOL","Twig",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"20","CHOLINE","Leaf",,,,"Jim Duke's personal files."
"24","CHROMIUM","Leaf","0.7","2.9","-0.39890184230621223","--"
"0","CIS-NEOXANTHIN","Tissue Culture",,,,"Jim Duke's personal files."
"0","CIS-VIOLAXANTHIN","Tissue Culture",,,,"Jim Duke's personal files."
"23","CITRIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"23","CITRIC-ACID","Seed",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"2","COBALT","Leaf",,,,"--"
"12","COPPER","Seed","3.0","6.0","-0.7995157719201157","USDA's Ag Handbook 8 and sequelae)"
"13","CYSTEINE","Seed",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"2","CYSTINE","Seed","230.0","630.0","-1.7530921610405406","USDA's Ag Handbook 8 and sequelae)"
"4","D-CATECHIN","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","D-GALLOCATECHIN","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","D-GLUCARIC-ACID","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"5","DAUCOSTEROL","Leaf",,,,"Jim Duke's personal files."
"0","DI-TRANS-POLY-CIS-OCTADECAPRENOL","Leaf",,"2660.0",,"--"
"0","DIHYDRO-GINKGOLIC-ACID","Fruit",,,,"Jim Duke's personal files."
"0","DNA","Flower","32700.0","35700.0",,"ANON. 1948-1976. The Wealth of India raw materials. Publications and Information Directorate, CSIR, New Delhi. 11 volumes."
"0","DOCOSAN-1-OL","Pollen Or Spore",,"445.0",,"Jim Duke's personal files."
"0","DOCOSANOL","Pollen Or Spore",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"0","DOLICHOL","Leaf",,,,"Jim Duke's personal files."
"2","ELEMOL","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"2","ELEMOL","Heart Wood",,,,"Jim Duke's personal files."
"0","EO","Wood",,"50000.0","0.1710888075673346","List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","EPIGALLOCATECHOL","Leaf",,,,"Jim Duke's personal files."
"5","ERGOSTEROL","Seed",,,,"Jim Duke's personal files."
"0","FAT","Seed","16000.0","38020.0","-1.1976264322692631","--"
"0","FAT","Leaf","5520.0","23000.0","-0.666792373215361","--"
"15","FIBER","Seed","5000.0","13000.0","-0.961586382822488","--"
"0","FIBER(CRUDE)","Leaf",,"100000.0","-0.7146241028272484","--"
"0","FIBER(DIETARY)","Leaf",,"350000.0","-0.29464124786862994","--"
"0","FLAVONOIDS","Leaf",,,,"Jim Duke's personal files."
"0","FLAVOXANTHIN","Tissue Culture",,,,"Jim Duke's personal files."
"13","FORMIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
"13","FORMIC-ACID","Fruit",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"8","FRUCTOSE","Seed",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","GADOLEIC-ACID","Seed","100.0","223.0","-0.6995055326721517","USDA's Ag Handbook 8 and sequelae)"
"1","GALACTOSE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"22","GAMMA-AMINOBUTYRIC-ACID","Seed",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"2","GAMMA-CAROTENE","Tissue Culture",,,,"Jim Duke's personal files."
"0","GAMMA-EUDESMOL","Heart Wood",,,,"Jim Duke's personal files."
"0","GAMMA-EUDESMOL","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"14","GAMMA-TOCOPHEROL","Leaf",,"140.0",,"Jim Duke's personal files."
"0","GINGOLIDE-C","Leaf",,,,"Jim Duke's personal files."
"11","GINKGETIN","Leaf","12.0","4600.0",,"--"
"11","GINKGETIN","Fruit",,,,"--"
"0","GINKGO-FLAVONE-GYLCOSIDES","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-120","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-15","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-16","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-17","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-18","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-19","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-20","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-21","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-22","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-85","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-90","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYPRENOL-95","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYSACCHARIDE-GF-1","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYSACCHARIDE-GF-2-A","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYSACCHARIDE-GF-2-B","Leaf",,,,"Jim Duke's personal files."
"0","GINKGO-POLYSACCHARIDE-GF-3","Leaf",,,,"Jim Duke's personal files."
"7","GINKGOIC-ACID","Fruit",,,,"--"
"0","GINKGOL","Fruit",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","GINKGOL","Leaf",,,,"Jim Duke's personal files."
"7","GINKGOLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"7","GINKGOLIC-ACID","Fruit",,,,"--"
"10","GINKGOLIDE-A","Root",,,,"Jim Duke's personal files."
"10","GINKGOLIDE-A","Shoot",,,,"Jim Duke's personal files."
"10","GINKGOLIDE-A","Sprout Seedling",,,,"Jim Duke's personal files."
"10","GINKGOLIDE-A","Tissue Culture",,,,"Jim Duke's personal files."
"10","GINKGOLIDE-A","Plant",,,,"Jim Duke's personal files."
"10","GINKGOLIDE-A","Leaf","0.05","300.0",,"--"
"10","GINKGOLIDE-A","Root Bark",,"100.0",,"--"
"0","GINKGOLIDE-ACID","Fruit",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"12","GINKGOLIDE-B","Leaf","0.05","2500.0",,"Jim Duke's personal files."
"12","GINKGOLIDE-B","Root",,,,"Jim Duke's personal files."
"12","GINKGOLIDE-B","Shoot",,,,"Jim Duke's personal files."
"12","GINKGOLIDE-B","Root Bark",,,,"--"
"12","GINKGOLIDE-B","Sprout Seedling",,,,"Jim Duke's personal files."
"12","GINKGOLIDE-B","Plant",,,,"Jim Duke's personal files."
"12","GINKGOLIDE-B","Tissue Culture",,,,"Jim Duke's personal files."
"4","GINKGOLIDE-C","Leaf","0.05","120.0",,"Jim Duke's personal files."
"4","GINKGOLIDE-C","Root Bark",,,,"--"
"4","GINKGOLIDE-C","Root",,,,"Jim Duke's personal files."
"4","GINKGOLIDE-C","Shoot",,,,"Jim Duke's personal files."
"4","GINKGOLIDE-C","Sprout Seedling",,,,"Jim Duke's personal files."
"4","GINKGOLIDE-C","Plant",,,,"Jim Duke's personal files."
"1","GINKGOLIDE-J","Root",,,,"Jim Duke's personal files."
"1","GINKGOLIDE-J","Shoot",,,,"Jim Duke's personal files."
"1","GINKGOLIDE-J","Leaf",,,,"Leung, A. Y. and Foster, S. 1995. Encyclopedia of Common Natural Ingredients 2nd Ed. John Wiley & Sons, New York. 649 pp."
"0","GINKGOLIDE-M","Root Bark",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"17","GINKGOLIDES","Leaf",,"1000.0",,"--"
"0","GINKGOTOXIN","Seed",,,,"Newall, C. A., Anderson, L. A. and Phillipson, J. D. 1996. Herbal Medicine - A Guide for Health-care Professionals. The Pharmaceutical Press, London. 296pp."
"3","GINNOL","Pollen Or Spore",,"463.0",,"Jim Duke's personal files."
"3","GINNOL","Leaf",,"1260.0",,"Jim Duke's personal files."
"3","GINNOL","Fruit",,,,"--"
"0","GINNON","Leaf",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","GINNONE","Leaf",,,,"Jim Duke's personal files."
"3","GLUCOMANNAN","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"7","GLUCOSE","Wood",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"8","GLUTAMIC-ACID","Seed","8360.0","22840.0","-0.7962775692479128","USDA's Ag Handbook 8 and sequelae)"
"12","GLYCINE","Seed","2320.0","6325.0","-0.6690108388262893","USDA's Ag Handbook 8 and sequelae)"
"0","HEPTADECA-3-6-9-TRIEN-1-OL","Essential Oil",,,,"Jim Duke's personal files."
"0","HEX-CIS-3-EN-1-OL","Essential Oil",,,,"Jim Duke's personal files."
"0","HEX-CIS-4-EN-1-OL","Essential Oil",,,,"Jim Duke's personal files."
"0","HEX-TRANS-2-EN-1-AL","Leaf",,,,"Jim Duke's personal files."
"0","HEX-TRANS-4-EN-1-OL","Essential Oil",,,,"Jim Duke's personal files."
"0","HEXACOSAN-1-OL","Leaf",,,,"Jim Duke's personal files."
"0","HEXACOSANOL-1","Leaf",,,,"List, P.H. and Horhammer, L., Hager's Handbuch der Pharmazeutischen Praxis, Vols. 2-6, Springer-Verlag, Berlin, 1969-1979."
"0","HEXEN-1-AL","Leaf",,,,"Jim Duke's personal files."
"7","HISTIDINE","Seed","1020.0","2785.0","-0.8876875742517191","USDA's Ag Handbook 8 and sequelae)"
"1","HOMOSERINE","Seed",,,,"Kameoka, H. and Nakai, K. 1987. Components of essential oil from the root of Glycyrrhiza-glabra. Nippon Gogeikagaku Kaishi 61(9): 1119-1122."
"0","HYDROGINKGOLIC-ACID","Leaf",,,,"Jim Duke's personal files."
"0","HYDROGINKGOLIC-ACID","Fruit",,,,"Chemical Constituents of Oriental Herbs (3 diff. books)"
"0","INGNOCERIC-ACID","Pollen Or Spore",,,,"Jim Duke's personal files."
