Common Name,Latin Name,Family,Molecule A Name,Molecule A Class,Molecule B Name,Molecule B Class,Molecule C Name,Molecule C Class,Medicinal,Toxicity,General Information,Hardiness,Extra Links (Separate by Space),Record Created (Last Name[Date])
Pomegrante,Punica granatum L.,Lythraceae,Punic acid,Lipid [https://www.sciencedirect.com/science/article/pii/S0278691509003421],,,,,,,"Juice of the pomegranate may be effective in reducing heart disease risk factors, including LDL oxidation.",8 to 11,,(Akanegbu [10/28/2019])
Citrus sp.,Citrus jambhiri L.,Rutaceae,Vitamin C compound,Vitamin c compound [https://www.sciencedirect.com/science/article/abs/pii/0011916491851117],,,,,,,"Often called the ""fivepound lemon"" due to its huge size the Ponderosa Lemon is believed to be a bybrid between a lemon and a citron, although it has never been verified. May be useful for lowering the risk factors for specific types of kidney stones. Being rich in Vitamin C can help prevent one from gettimg scurvy. ",9 to 11,,(Akanegbu [10/28/2019])
Pelican flower,Aristolochia littoralis D. Parodi,Aristolochiaceae,aristolic acids,physiologically active compounds various classes[https://www.sciencedirect.com/topics/chemistry/aristolochic-acid],"Eupomatenoid-7, licarin",Neolignans [https://www.sciencedirect.com/science/article/pii/S0378874114006862],,,,, Aristolochic acid has been shown to be both a potent carcinogen and kidney toxin. The flower is fly pollinated and emits and odor of rotting meat,10 to 12,,(Akanegbu [10/28/2019])
Agave,Agave americana L.,Asparagaceae,Fructose,Sugars [https://www.sciencedirect.com/science/article/pii/B9780128021897000113],,,,,,,"The sap of agaves has long been used in Central America as a binding agent for various powders used as poultices on wounds. The sap can also be taken internally in the treatment of diarrhoea, dysentery etc[254]. The sap is antiseptic, diaphoretic, diuretic and laxative. Parts of the plant can also be used for aching, treating syphillis, ",8 to 10,,(Akanegbu [10/28/2019])
Tea Plant,Camelia sinensis,Theaceae,Flavonoids,Flavonoids [https://www.sciencedirect.com/science/article/pii/S1874390019303891],polyphenolics,,,,,,Leaves and leaf buds are used to produce tea. Used in traditional Chinese medicine to treat asthma ,7 to 9,,(Akanegbu [10/28/2019])
Tea Tree,Leptospermum laevigatum,Myrtaceae,,,,,,,,,The indigenous Bundjalung people of  Australia use as a traditional medicine to treat coughs and colds,9 to 10,,(Akanegbu [10/28/2019])
Gum Arabic Tree,Vachellia nilotica,Fabaceae,,,,,,,,,"Used to provide a soothing coating for inflammations in the respiratory,  and urinary tracts.",10 to 12,,(Akanegbu [10/28/2019])
Kava Kava,Piper methythusticum,Piperaceae,Piperdine,,,,,,,moderate,"Kava kava is an extract from the plant Piper methysticum that grows in several Pacific island chains. Kava kava has been used for thousands of years in Pacific cultures during rituals, social gatherings, and for medicinal purposes. The active components called kavalactones are found mostly in the root and rhizome (underground horizontal stem) of the plant. The kavalactones are thought to help decrease anxiety and relax muscles, possibly by a mechanism similar to the benzodiazepine family of sedatives.however, have been banned in some Euroean countries due to it being believed to cause liver damage",11 to 12,,(Akanegbu [10/28/2019])
Chocolate,Theobroma cacao,Sterculiaceae,,,,,,,,,"Cocoa, scientifically known as Theobroma cacao, is a small evergreen tree native to South America. Its seeds are used to make cocoa powder and chocolate. It is economically important as cocoa butterextracted from the seeds is widely used in the confectionery industry. ",10 to 12,,(Akanegbu [10/28/2019])
Castor Bean,Ricinus communis L.,Euphorbiaceae,Ricin,,,,,,,,"Castor oil is a laxative that has been used for over 2,000 years. The oil is also an industrial lubricant. The seed coat contains the potent poison Ricin.",9 to 11,,(Akanegbu [10/28/2019])
Greenwave Yew,Taxus brevifolia L.,Taxaceae,Taxol,,,,,,,Severe,Extracts from the bark of the Pacific and common yew are used in treatment for ovarian and breast cancer.,5 to 9,,(Akanegbu [10/28/2019])
